Estacao;Data;Hora;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;
83377;31/12/2011;0000;2.419355;12;
83377;31/01/2012;0000;1.935484;9;
83377;29/02/2012;0000;2.671264;9;
83377;31/03/2012;0000;1.774194;7;
83377;30/04/2012;0000;1.822222;7;
83377;31/05/2012;0000;2.27957;9;
83377;30/06/2012;0000;2.222222;9;
83377;31/07/2012;0000;2.505376;10;
83377;31/08/2012;0000;4.505376;12;
83377;30/09/2012;0000;2.644444;10;
83377;31/10/2012;0000;2.182796;7;
83377;30/11/2012;0000;2.343333;12;
83377;31/12/2012;0000;1.733046;10;
83377;31/01/2013;0000;2.037634;9;
83377;28/02/2013;0000;2.147619;7;
83377;31/03/2013;0000;1.617204;9;
83377;30/04/2013;0000;1.674444;9;
83377;31/05/2013;0000;1.544086;8;
83377;30/06/2013;0000;1.858889;5;
83377;31/07/2013;0000;1.946237;7;
83377;31/08/2013;0000;2.677419;9;
83377;30/09/2013;0000;2.744444;10;
83377;31/10/2013;0000;2.010753;7;
83377;30/11/2013;0000;1.39;7;
83377;31/12/2013;0000;1.795699;9;
83377;31/01/2014;0000;2.024611;8;
83377;28/02/2014;0000;2.035714;10;
83377;31/03/2014;0000;1.26129;7;
83377;30/04/2014;0000;0.911111;7;
83377;31/05/2014;0000;1.162366;6;
83377;30/06/2014;0000;1.791111;7;
83377;31/07/2014;0000;2;7;
83377;31/08/2014;0000;2.419355;10;
83377;30/09/2014;0000;2.646049;9;
83377;31/10/2014;0000;2.541935;10;
83377;30/11/2014;0000;1.447332;6;
83377;31/12/2014;0000;1.553499;9;
83377;31/01/2015;0000;1.367765;7;
83377;28/02/2015;0000;2.024841;9;
83377;31/03/2015;0000;0.828578;7;
83377;30/04/2015;0000;0.692098;5;
83377;31/05/2015;0000;1.325686;7;
83377;30/06/2015;0000;2.325402;9;
83377;31/07/2015;0000;2.090058;10;
83377;31/08/2015;0000;2.161166;8.23104;
83377;30/09/2015;0000;1.792419;9;
83377;31/10/2015;0000;2.003416;8;
83377;30/11/2015;0000;1.058123;5;
83377;31/12/2015;0000;0.898373;7;
83377;31/01/2016;0000;2.007119;7;
83377;29/02/2016;0000;1.255861;7;
83377;31/03/2016;0000;1.400334;9;
83377;30/04/2016;0000;1.63558;7;
83377;31/05/2016;0000;1.067311;5;
83377;30/06/2016;0000;1.890561;8;
83377;31/07/2016;0000;1.759772;7;
83377;31/08/2016;0000;1.756081;6;
83377;30/09/2016;0000;1.690814;8;
83377;31/10/2016;0000;1.573619;6;
83377;30/11/2016;0000;1.494665;8;
83377;31/12/2016;0000;1.368076;6;
83377;31/01/2017;0000;1.340883;7;
83377;28/02/2017;0000;1.643889;8;
83377;31/03/2017;0000;1.175148;6;
83377;30/04/2017;0000;1.590814;5;
83377;31/05/2017;0000;1.916152;7;
83377;30/06/2017;0000;2.313999;9;
83377;31/07/2017;0000;3.055006;8;
83377;31/08/2017;0000;2.389271;10;
83377;30/09/2017;0000;3.513999;9;
83377;31/10/2017;0000;2.881856;11.83212;
83377;30/11/2017;0000;1.765465;6.17328;
83377;31/12/2017;0000;1.759053;12.861;
83377;31/01/2018;0000;1.7148;6.17328;
83377;28/02/2018;0000;1.880156;8.23104;
83377;31/03/2018;0000;1.62906;10.2888;
83377;30/04/2018;0000;2.034639;10.2888;
83377;31/05/2018;0000;2.323277;8.23104;
83377;30/06/2018;0000;2.217808;5.1444;
83377;31/07/2018;0000;2.511352;8.23104;
83377;31/08/2018;0000;2.068943;7.20216;
83377;30/09/2018;0000;1.960588;8.23104;
83377;31/10/2018;0000;1.37184;7.20216;
83377;30/11/2018;0000;1.897712;9.77436;
83377;31/12/2018;0000;1.703737;6.17328;
